video_id,question_id,type,question_content,templ_values,question_deleted,anser,question,Quest_hindi,ans_hindi,hinglish_question
00000136,17,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> louder than the instrument on the <LR>?,"[""left"", ""right""]",0,no,Is the instrument on the left louder than the instrument on the right?,क्या बायीं ओर का वाद्ययंत्र दाहिनी ओर के वाद्ययंत्र की तुलना में अधिक तेज़ है?,नहीं,kya leftick par use on the spant se bacha hai ?
00000250,23,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""accordion""]",0,yes,Is the accordion in the video always playing?,क्या वीडियो में अकॉर्डियन हमेशा बजता रहता है?,हाँ,kya video me already playing hai?
00000225,27,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,yes,Is there a voiceover?,क्या कोई वॉयसओवर है?,हाँ,kya koi voiceover hai?
00000152,30,"[""Audio-Visual"", ""Existential""]",Is this sound from the instrument in the video?,[],0,yes,Is this sound from the instrument in the video?,क्या यह ध्वनि वीडियो में मौजूद उपकरण की है?,हाँ,kya ye video mein usey se sound hai ?
00000085,32,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,no,Is there a voiceover?,क्या कोई वॉयसओवर है?,नहीं,kya koi voiceover hai?
00000199,38,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""accordion""]",0,yes,Is the accordion in the video always playing?,क्या वीडियो में अकॉर्डियन हमेशा बजता रहता है?,हाँ,kya video me already playing hai?
00000223,42,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""violin""]",0,yes,Is the violin in the video always playing?,क्या वीडियो में वायलिन हमेशा बजता रहता है?,हाँ,kya Golinn me video me hamesha playing hai?
00000107,44,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""flute""]",0,yes,Is the flute in the video always playing?,क्या वीडियो में बांसुरी हमेशा बजती रहती है?,हाँ,kya video me fill hamesha playing hai?
00000045,46,"[""Audio-Visual"", ""Comparative""]",Is the <Object> on the <LR> louder than the <Object> on the <LR>?,"[""flute"", ""right"", ""piano"", ""left""]",0,yes,Is the flute on the right louder than the piano on the left?,क्या दायीं ओर की बांसुरी बायीं ओर के पियानो से अधिक ऊँची है?,हाँ,kya Firo piano se the fight loud par laga hai ?
00000157,53,"[""Audio"", ""Comparative""]",Is the <Object> more rhythmic than the <Object>?,"[""drum"", ""acoustic_guitar""]",0,yes,Is the drum more rhythmic than the acoustic_guitar?,क्या ड्रम ध्वनिक_गिटार से अधिक लयबद्ध है?,हाँ,kya acustic_ guitar se zyada samajh se zyada hoti hai?
00000064,57,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00000092,61,"[""Audio-Visual"", ""Comparative""]",Is the instrument on the <LR> louder than the instrument on the <LR>?,"[""left"", ""right""]",0,yes,Is the instrument on the left louder than the instrument on the right?,क्या बायीं ओर का वाद्ययंत्र दाहिनी ओर के वाद्ययंत्र की तुलना में अधिक तेज़ है?,हाँ,kya leftick par use on the spant se bacha hai ?
00000035,64,"[""Audio-Visual"", ""Existential""]",Is there a voiceover?,[],0,yes,Is there a voiceover?,क्या कोई वॉयसओवर है?,हाँ,kya koi voiceover hai?
00000271,67,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""electric_bass""]",0,yes,Is the electric_bass in the video always playing?,क्या वीडियो में इलेक्ट्रिक बास हमेशा बजता रहता है?,हाँ,kya video me electric_bas hames hamesha playing hai ?
00000182,69,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""piano""]",0,yes,Is the piano in the video always playing?,क्या वीडियो में पियानो हमेशा बजता रहता है?,हाँ,kya piano me hamesha video playing hai?
00000105,70,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""cello""]",0,yes,Is the cello in the video always playing?,क्या वीडियो में सेलो हमेशा बजता रहता है?,हाँ,kya video me cello hamesha playing hai ?
00000245,79,"[""Audio-Visual"", ""Existential""]",Is the <Object> in the video always playing?,"[""pipa""]",0,yes,Is the pipa in the video always playing?,क्या वीडियो में पीपा हमेशा बजता रहता है?,हाँ,kya pipa me hamesha video playing hai?
